Entity,Code,avg_rabies,min_rabies,max_rabies,sum_rabies
World,OWID_WRL,20192.370366666666,14075.508,24744.658,605771.111
"Lower Middle Income (WB)",NULL,15193.959383333333,10202.528,19182.795,455818.7815
"South Asia (WB)",NULL,11729.888753333335,7271.2754,15361.878,351896.66260000004
"South-East Asia Region (WHO)",NULL,11424.326893333337,6806.0127,15641.958,342729.8068000001
G20,NULL,10189.046003333331,6339.0796,13164.881,305671.38009999995
India,IND,8599.173279999999,5425.8726,11121.142,257975.19839999996
"Sub-Saharan Africa (WB)",NULL,4748.2680900000005,4356.8184,5017.977,142448.04270000002
"African Region (WHO)",NULL,4649.702376666666,4283.073,4917.784,139491.07129999998
"Low Income (WB)",NULL,3568.1054499999996,3014.617,3873.533,107043.16349999998
"East Asia & Pacific (WB)",NULL,3427.4611333333323,2009.9395,4591.0107,102823.83399999997
